Animal,Binomial Name,Taxonomic Class,Known maximum mass[tonnes],Maximum length[m]
Whale shark,Rhincodon typus,Chondrichthyes (Cartilaginous fish),21.5,18.8
Basking shark,Cetorhinus maximus,Chondrichthyes (Cartilaginous fish),5.2 (16 unconfirmed),14
Great white shark,Carcharodon carcharias,Chondrichthyes (Cartilaginous fish),3.324,7
Tiger shark,Galeocerdo cuvier,Chondrichthyes (Cartilaginous fish),3.11,7.5
Giant oceanic manta ray,Mobula birostris,Chondrichthyes (Cartilaginous fish),3.0,5
Southern sunfish,Mola alexandrini,Osteichthyes (Bony fish),2.744,3.3
Ocean sunfish,Mola mola,Osteichthyes (Bony fish),2.3,3.1
Beluga sturgeon,Huso huso,Osteichthyes (Bony fish),2.072,7.2
Sharptail mola,Masturus lanceolatus,Osteichthyes (Bony fish),2,3.0
Hoodwinker sunfish,Mola tecta,Osteichthyes (Bony fish),1.87,2.4
Reef manta ray,Manta alfredi,Chondrichthyes (Cartilaginous fish),1.4,5.5
Greenland shark,Somniosus microcephalus,Chondrichthyes (Cartilaginous fish),1.397,7.3
Megamouth shark,Megachasma pelagios,Chondrichthyes (Cartilaginous fish),1.215,5.2
Kaluga,Huso dauricus,Osteichthyes (Bony fish),1.140,5.6
